"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
llaveros-para-resina-epoxi-10-unidades;;;"CANTIDAD ";"100 llaveros";;;;;40,000.00;25,000.00;0.02;1.00;1.00;1.00;;"100 llaveros simples";;;;;;;;;;;;;0.00
flecos-de-hilo-x-10-unidades;"Flecos de Hilo x 10 unidades";"Extras Para Resina";Color;Celeste;;;;;5,500.00;;0.05;1.00;1.00;1.00;6;flecoshilo;;SI;NO;;"accesorios, accesorios para emprender, accesorios resina, advance coat, argentina, bases para dijes, borla, borlas, buenos aires, comprar online argentina, dijes, envio argentina, extra, extras, extras para resina, fleco, fleco hilos, flecos, flecos gamuza, flecos hilo, flecos llaveros, herramientas profesionales, herramientas resina epoxi, hilo, hilos, insumos manualidades, molde para llaveros, pompones resina, resina para accesorios, terminaciones llaveros, utiles resina";"Flecos de Hilo x 10 unidades | Advance Coat";;"Advance Coat";SI;;;;
flecos-de-hilo-x-10-unidades;;;Color;Azul;;;;;5,500.00;;0.05;1.00;1.00;1.00;6;flecoshilo;;;;;;;;;;;;;
flecos-de-hilo-x-10-unidades;;;Color;Fucsia;;;;;5,500.00;;0.05;1.00;1.00;1.00;4;flecoshilo;;;;;;;;;;;;;
flecos-de-hilo-x-10-unidades;;;Color;Rojo;;;;;5,500.00;;0.05;1.00;1.00;1.00;5;flecoshilo;;;;;;;;;;;;;
flecos-de-hilo-x-10-unidades;;;Color;Verde;;;;;5,500.00;;0.05;1.00;1.00;1.00;9;flecoshilo;;;;;;;;;;;;;
flecos-de-hilo-x-10-unidades;;;Color;"Verde Claro";;;;;5,500.00;;0.05;1.00;1.00;1.00;10;flecoshilo;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;"Flecos Gamuza x 10 unidades mismo color";"Extras Para Resina";Color;Verde;;;;;5,500.00;;0.05;1.00;1.00;1.00;2;10flecosverde;;SI;NO;;"accesorios, accesorios para emprender, accesorios resina, advance coat, argentina, bases para dijes, borla, borlas, buenos aires, color, comprar online argentina, dijes, envio argentina, extra, extras, extras para resina, fleco, flecos, flecos color, flecos gamuza, flecos llaveros, gamuza, herramientas profesionales, herramientas resina epoxi, insumos manualidades, mismo color, molde para llaveros, pompones resina, resina para accesorios, terminaciones llaveros, utiles resina";"Flecos Gamuza x 10 unidades mismo color | Advance Coat";;"Advance Coat";SI;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;Celeste;;;;;5,500.00;;0.05;1.00;1.00;1.00;2;10flecosceleste;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;Fucsia;;;;;5,500.00;;0.05;1.00;1.00;1.00;2;10flecosfucsia;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;Negro;;;;;5,500.00;;0.05;1.00;1.00;1.00;19;10flecosnegro;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;Azul;;;;;5,500.00;;0.05;1.00;1.00;1.00;5;10flecosazul;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón Claro";;;;;5,500.00;;0.05;1.00;1.00;1.00;2;10flecosmarronclaro;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Verde Claro";;;;;5,500.00;;0.05;1.00;1.00;1.00;1;10flecosverde;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;3;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;"Marrón ";;;;;5,500.00;;0.05;1.00;1.00;1.00;;10flecosmarron;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;Blanco;;;;;5,500.00;;0.05;1.00;1.00;1.00;10;10flecosverde;;;;;;;;;;;;;
flecos-gamuza-x-10-unidades-mismo-color;;;Color;Rojo;;;;;5,500.00;;0.05;1.00;1.00;1.00;10;10flecosverde;;;;;;;;;;;;;
molde-love;"Molde Silicona Love - Diseño Decorativo";"Moldes de Silicona ";;;;;;;9,500.00;8,000.00;0.10;1.00;1.00;5.00;0;"molde love";;NO;NO;;"amor, amor resina, argentina, buenos aires, comprar moldes argentina, comprar online argentina, encapsular, encapsular foto, envio argentina, love, love resina, luces, molde, molde acabado brillante, molde alta calidad, molde amor, molde de silicona, molde de silicona para resina, molde duradero, molde flexible, molde love, molde manualidades, molde para resina epoxi, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona, moldes silicona argentina, romantico resina";"Molde Silicona Love | Resina Epoxi | Advance Coat";"? Molde Silicona Love de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
kit-flores-secas-para-resina-epoxi;"Kit Flores Secas para Resina Epoxi";"Arma Tu Propia Funda  > Adornos - Charms, Extras Para Resina";;;;;;;9,000.00;8,000.00;0.07;1.00;1.00;2.00;96;"Flores secas";;SI;NO;;"adorno, adornos, argentina, aros flores, buenos aires, charms, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, disecadas, encapsular foto, envio argentina, extra, extras, extras para resina, flor, flor seca, florales resina, flores, flores resina, kit completo, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit principiantes, kit resina, kit resina epoxi, primavera resina, set resina epoxi";"Kit Flores Secas para Resina Epoxi | Advance Coat";;"Advance Coat";SI;;;;
combo-para-hacer-relojes-romanos;"Combo Relojes Romanos - Productos de Alto Valor Para Vender";"Combos > Combos para hacer relojes";;;;;;;37,000.00;34,500.00;0.20;5.00;5.00;1.00;0;"150g + reloj romano + 12 glitters + mecanismo";;NO;NO;;"argentina, buenos aires, cocentrado de color, combo, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, descuento, envio argentina, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit resina epoxi, letras, molde, numero, numeros, pigmento, promocion, reloj, reloj artesanal, reloj clasico, reloj decorativo, reloj pared, relojes, relojes resina, resina cristal, resina epoxi, set resina epoxi";"Combo Relojes Romanos | Advance Coat";;"Advance Coat";SI;;;;
combo-para-hacer-relojes-clasicos;"Combo Relojes Decorativos - Piezas Premium en Resina";"Combos > Combos para hacer relojes";;;;;;;37,000.00;34,500.00;0.20;5.00;5.00;1.00;0;"150g + reloj clasico + 12 glitters + mecanismo";;NO;NO;;"argentina, buenos aires, cocentrado de color, combo, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, descuento, envio argentina, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit resina epoxi, letras, molde, numero, numeros, pigmento, promocion, reloj, reloj artesanal, reloj clasico, reloj decorativo, reloj pared, relojes, relojes resina, resina cristal, resina epoxi, set resina epoxi";"Combo Relojes Decorativos | Advance Coat";;"Advance Coat";SI;;;;
combo-seminario-online;"Curso Online Resina Epoxi - Aprendé Desde Cero a Profesional";"Combos, Combos Cursos Online";;;;;;;156,000.00;148,000.00;1.10;12.00;10.00;7.00;0;"750g + resinauv + lampara + balanza + bel byn + dr rojoamarilloazul + 2 metaliz brydor + molde para compartir + lapicera + mecanismo + papel metalizado";;NO;NO;;"750, aprender resina desde cero, argentina, balanza digital, balanza para resina, bel, buenos aires, capacitacion resina, clases resina online, como hacer resina epoxi, comprar online argentina, concentrado de color, curso, curso advance coat, curso online, curso online manualidades, curso para emprender, curso resina epoxi, envio argentina, escamas, iva, ivana, lampara secado, lampara uv, mecanismo, metalizado, molde de colgante, molde de dijes, molde de gota, molde de llavero, molde de silicona, molde de silicona para resina, molde para llavero, molde para llaveros, tutorial resina";"Curso Online Resina Epoxi | Advance Coat";;"Advance Coat";SI;;;;
pack-5-pinceles;"Pack 5 Pinceles - Aplicación Detallada y Profesional";"Arma Tu Propia Funda  > Herramientas, Moldes de Silicona ";;;;;;;8,500.00;8,000.00;0.05;1.00;1.00;1.00;1;"pack 5 pinceles";;SI;NO;;"accesorios para emprender, accesorios resina, advance coat, argentina, buenos aires, comprar online argentina, envio argentina, herramientas profesionales, herramientas resina epoxi, insumos manualidades, kit, lampara uv, pack, pack 5 pinceles, pincel, pincel para resina, pincel para resina uv, pincel uv, pinceles, pinceles aplicacion, pinceles manualidades, pinceles resina, resina epoxi, resina para accesorios, resina uv, utiles resina";"Pack 5 Pinceles | Advance Coat";;"Advance Coat";SI;;;;
combo-completo-para-hacer-letras-con-resina-epoxi;"Combo Completo para hacer Letras con Resina Epoxi";"Combos > Combos para hacer llaveros";;;;;;;92,000.00;85,000.00;0.50;5.00;5.00;5.00;0;"300g + letras grande + 3 escamas + 12 glitt + pitones + 10 llaveros + perforadora electrica + balanza";;SI;NO;;"argentina, balanza, balanza + vaso, balanza digital, balanza para resina, balanza y vaso, buenos aires, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, envio argentina, escamas, extras para resina, glitter, glitters, kit completo principiantes, kit emprendimiento, kit hobbistas, kit llavero, kit manualidades, kit para empezar, kit para regalar, kit resina epoxi, letras, letras grande, letras resina, llavero, llaveros con nombres, molde letras, nombres personalizados, palabras resina, set resina epoxi";"Combo Completo para hacer Letras con Resina Epoxi";;"Advance Coat";SI;;;;
plancha-de-donas;"Molde Plancha de Donas - Diseño Original Donas";"Moldes de Silicona ";;;;;;;6,500.00;;0.05;1.00;1.00;1.00;1;"Plancha donas";;SI;NO;;"argentina, aros donas, buenos aires, circulo, colgante, comprar moldes argentina, comprar online argentina, dona, donas, donas decorativas, donas resina, envio argentina, medio circulo, molde acabado brillante, molde alta calidad, molde de colgante, molde de dijes, molde de silicona, molde de silicona para resina, molde duradero, molde flexible, molde manualidades, molde para llavero, molde para resina epoxi, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina, plancha, plancha donas, planchas";"Molde Plancha de Donas | Resina Epoxi | Advance Coat";"? Molde Plancha de Donas de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
kit-para-hacer-accesorios-aros;"Combo Aros Artesanales - Bisutería Para Emprender";"Extras Para Resina";"ELECCIÓN DE DIJES";PLATEADO;;;;;12,000.00;;0.08;1.00;2.00;1.00;30;"Accesorios plateados";;SI;NO;;"accesorios, argentina, aritos, aros, aros artesanales argentina, aros para emprender, aros resina epoxi, bijouterie, buenos aires, colgante, combo advance coat, combo emprendedor, combo resina, combo todo incluido, como hacer aros, comprar combo resina argentina, comprar online argentina, dije, dijes, dijes de metal, dijes para resina, envio argentina, kit accesorios, kit completo, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit principiantes, kit resina, kit resina epoxi, molde para aros, set resina epoxi";"Combo Aros Artesanales | Advance Coat";;"Advance Coat";SI;;;;
kit-para-hacer-accesorios-aros;;;"ELECCIÓN DE DIJES";DORADO;;;;;12,000.00;;0.08;1.00;2.00;1.00;43;"Accesorios Dorados";;;;;;;;;;;;;
plancha-media-esfera-pequena-para-anillos;"Molde Plancha Media Esfera Pequeña Para Anillos";"Moldes de Silicona ";;;;;;;7,000.00;;0.10;1.00;1.00;1.00;0;"media esferas pequeñas";;NO;NO;;"anillos artesanales, anillos resina, argentina, bases anillos, bisuteria anillos, bola decorativa, buenos aires, comprar moldes argentina, comprar online argentina, envio argentina, esfera, esfera resina, esfera vidrio, molde acabado brillante, molde alta calidad, molde de anillo, molde de dije, molde duradero, molde flexible, molde llavero, molde manualidades, molde para llaveros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, molde silicona para resina, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina, perla, resina para anillos";"Molde Plancha Media Esfera Pequeña Para Anillos";"? Molde Plancha Media Esfera Pequeña Para Anillos de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100...";"Advance Coat";SI;;;;
mini-pistola-de-calor;"Mini Pistola de Calor - Acabado Perfecto Sin Burbujas";"Arma Tu Propia Funda  > Herramientas, Extras Para Resina";;;;;;;22,500.00;21,000.00;0.15;5.00;5.00;5.00;95;"Pistola de calor";;SI;NO;;"accesorios para emprender, accesorios resina, advance coat, argentina, bijouterie mini, buenos aires, comprar online argentina, envio argentina, extras para resina, generador de olas en resina, herramientas profesionales, herramientas resina epoxi, insumos manualidades, mini resina, miniaturas resina, pistola de aire caliente, pistola de calor, soplete para resina, utiles resina";"Mini Pistola de Calor | Advance Coat";;"Advance Coat";SI;;;;
kit-papel-metalizado-dorado-y-plateado;"Kit Papel Metalizado Dorado y Plateado";"Arma Tu Propia Funda  > Adornos - Charms, Extras Para Resina";;;;;;;7,500.00;;0.14;1.00;1.00;1.00;92;"papel metalizado x8";;SI;NO;;"8 metalizados, adorno, adornos, argentina, buenos aires, charms, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, dorado, efecto oro, efecto plata, envio argentina, extra, extras, extras para resina, funda, fundas, kit completo, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit principiantes, kit resina, kit resina epoxi, metalizado, metalizado resina, pigmento metalico, set resina epoxi";"Kit Papel Metalizado Dorado y Plateado | Advance Coat";;"Advance Coat";SI;;;;
resina-uv-lampara-de-secado-rapido;"Lámpara UV LED 6W - Secado Rápido Profesional";"Combos > Combos iniciales, Combos > Combos para hacer llaveros, Combos > Combos para hacer dijes, Combos > Combos de herramientas, Combos > Otros combos, Resinas Epoxi > Resina UV, Extras Para Resina, Arma Tu Propia Funda  > Resinas Epoxi Para Fundas";;;;;;;13,500.00;12,000.00;0.20;1.00;1.00;4.00;20;"Lampara chica";;SI;NO;;"accesorios para emprender, accesorios resina, advance coat, argentina, buenos aires, comprar online argentina, envio argentina, herramientas profesionales, herramientas resina epoxi, insumos manualidades, lampara, lampara led resina, lampara secado, lampara uv, rapido, resina con lampara, resina epoxi, resina para accesorios, resina para anillos, resina para mesas, resina rapida, resina secado rapido, resina uv, secado, secado rapido, utiles resina";"Lámpara UV LED 60W | Advance Coat";;"Advance Coat";SI;;;;
resina-uv;"Resina UV de Secado Rápido - Acabado Cristal Premium";"Resinas Epoxi > Resina UV, Arma Tu Propia Funda  > Resinas Epoxi Para Fundas";;;;;;;22,500.00;18,500.00;0.15;1.00;1.00;4.00;470;"resina uv";;SI;NO;;"advance coat, argentina, buenos aires, comprar online argentina, comprar resina online, donde comprar resina, envio argentina, lampara, resina advance coat, resina alta calidad, resina argentina, resina argentina envio, resina con lampara, resina cristal, resina epoxi, resina epoxi cristal, resina manualidades argentina, resina para accesorios, resina para anillos, resina para dijes, resina para emprender, resina para hacer accesorios, resina para llaveros, resina para mesas, resina profesional, resina rapida, resina secado rapido, resina sin burbujas, resina transparente, resina uv, secado rapido";"Resina UV de Secado Rápido | Calidad Pro | Advance Coat";"? Resina UV de Secado Rápido cristal sin burbujas. La elegida por +5000 emprendedoras. Envío gratis +$100K. 12 cuotas sin interés. ¡Comprá ahora!";"Advance Coat";SI;;;;
molde-para-hacer-marcos;"Molde Silicona para hacer Marcos - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;5,500.00;5,000.00;0.03;1.00;1.00;2.00;0;"Molde varios marcos";;NO;NO;;"argentina, buenos aires, comprar moldes argentina, comprar online argentina, cuadro, cuadros, encapsular, encapsular foto, enmarcar, envio argentina, espejo, espejos, foto, fotos, marco, marcos, mini marcos, molde, molde acabado brillante, molde alta calidad, molde de silicona, molde duradero, molde flexible, molde manualidades, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, moldes para emprender, moldes para vender, moldes resina, moldes silicona argentina, silicona";"Molde Silicona para hacer Marcos";"? Molde Silicona para hacer Marcos de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
flecos-gamuza-x-10-unidades;"Flecos Gamuza x 10 unidades";"Extras Para Resina";"CANTIDAD ";"10 flecos";;;;;5,500.00;;0.05;1.00;1.00;1.00;89;"10 flecos dorados";;SI;NO;;"accesorios, accesorios para emprender, accesorios resina, advance coat, argentina, bases para dijes, borla, borlas, buenos aires, comprar online argentina, dijes, envio argentina, extra, extras, extras para resina, fleco, flecos, flecos gamuza, flecos llaveros, gamuza, herramientas profesionales, herramientas resina epoxi, insumos manualidades, molde para llaveros, pompones resina, resina para accesorios, terminaciones llaveros, utiles resina";"Flecos Gamuza x 10 unidades | Advance Coat";;"Advance Coat";SI;;;;
flecos-gamuza-x-10-unidades;;;"CANTIDAD ";"100 flecos";;;;;55,000.00;25,000.00;0.10;1.00;1.00;1.00;9;"100 flecos dorados";;;;;;;;;;;;;
plancha-media-esfera-para-llaveros;"Molde Plancha Media Esfera Para Llaveros";"Moldes de Silicona ";;;;;;;7,000.00;;0.10;1.00;1.00;1.00;3;"media esferas";;SI;NO;;"argentina, bola decorativa, buenos aires, como hacer llaveros, comprar moldes argentina, comprar online argentina, envio argentina, esfera resina, esfera vidrio, llaveros para vender, llaveros personalizados, llaveros resina, media esfera, molde acabado brillante, molde alta calidad, molde de anillo, molde de dije, molde de esfera, molde duradero, molde flexible, molde llavero, molde llaveros, molde manualidades, molde para llaveros, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, molde silicona para resina, moldes para emprender, moldes para vender, moldes resina, moldes silicona, moldes silicona argentina, silicona";"Molde Plancha Media Esfera Para Llaveros";"? Molde Plancha Media Esfera Para Llaveros de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Emp...";"Advance Coat";SI;;;;
plancha-de-lunas;"Molde Plancha de Lunas - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;7,000.00;6,500.00;0.10;1.00;1.00;1.00;0;"plancha lunas";;NO;NO;;"argentina, buenos aires, chapita, comprar moldes argentina, comprar online argentina, dije, dijes, envio argentina, estrella, estrellas, llaveros, luna, molde acabado brillante, molde alta calidad, molde de dijes, molde dijes, molde duradero, molde flexible, molde llavero, molde manualidades, molde para llaveros, molde para resina, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, molde silicona para resina, molde silicona para resina epoxi, moldes para emprender, moldes para vender, moldes resina, moldes silicona, moldes silicona argentina";"Molde Plancha de Lunas | Resina Epoxi | Advance Coat";"? Molde Plancha de Lunas de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
plancha-de-estrellas;"Molde Plancha de Estrellas - Para Dijes Artesanales";"Moldes de Silicona ";;;;;;;6,500.00;;0.10;1.00;1.00;1.00;0;"plancha estrellas";;NO;NO;;"argentina, buenos aires, chapita, comprar moldes argentina, comprar online argentina, dije, dijes, envio argentina, estrella, estrellas, llaveros, molde acabado brillante, molde alta calidad, molde de dijes, molde dijes, molde duradero, molde flexible, molde llavero, molde manualidades, molde para llaveros, molde para resina, molde profesional, molde resina epoxi, molde reutilizable, molde silicona, molde silicona para resina, molde silicona para resina epoxi, moldes para emprender, moldes para vender, moldes resina, moldes silicona, moldes silicona argentina";"Molde Plancha de Estrellas | Resina Epoxi | Advance Coat";"? Molde Plancha de Estrellas de calidad pro. Silicona flexible, acabado brillante. Para llaveros, dijes y bijouterie. Envío gratis +$100K. ¡Empezá hoy!";"Advance Coat";SI;;;;
combo-para-hacer-formas-navidenas1;"Combo Formas Navideñas - Pack Completo Edición Navidad";"Combos > Combos iniciales, Combos > Combos para hacer dijes";;;;;;;30,500.00;;0.35;1.00;1.00;1.00;5;"150g + molde formas navideñas + 3 escamas + pitones + 10 llaveros";;SI;NO;;"adornos navidenos, arbol navidad, argentina, buenos aires, combo, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, copo de nieve, decoracion navidad, dulce, envio argentina, estrellas, formas navidad, formas navidenas, galletas, galletitas, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit resina epoxi, letras, letras chicas, llavero, llaveros, molde, navidad resina, regalos navidad, set resina epoxi";"Combo Formas Navideñas | Advance Coat";;"Advance Coat";SI;;;;
combo-para-hacer-formas-navidenas;"Combo Formas Navideñas - Pack Completo Edición Navidad";"Combos > Combos iniciales, Combos > Combos para hacer dijes";;;;;;;19,000.00;15,200.00;0.20;1.00;1.00;1.00;10;"copo de nieve grande + copo de nieve mediano + copos de nieve triple";;SI;NO;;"adornos navidenos, arbol navidad, argentina, buenos aires, combo, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, copo de nieve, decoracion navidad, dulce, envio argentina, estrellas, formas navidad, formas navidenas, galletas, galletitas, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit resina epoxi, letras, letras chicas, llavero, llaveros, molde, navidad resina, regalos navidad, set resina epoxi";"Combo Formas Navideñas | Advance Coat";;"Advance Coat";SI;;;;
combo-para-hacer-copos-de-nieve-para-arbol-navideno;"Combo Copos de Nieve para Árbol - Adornos Navideños";"Combos > Combos iniciales, Combos > Combos para hacer dijes";;;;;;;30,000.00;27,500.00;0.20;1.00;1.00;1.00;0;"150g + copo de nieve grande + copo de nieve mediano + 3 escamas";;NO;NO;;"adornos arbol navidad, adornos navidenos, arbol navidad, argentina, buenos aires, combo, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, copo de nieve, copos nieve, decoracion navidad, dije, dijes, envio argentina, escamas, extra, extras, extras para resina, formas navidad, formas navidenas, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit resina epoxi, llaveros, navidad resina, regalos navidad, set resina epoxi";"Combo Copos de Nieve para Árbol | Advance Coat";;"Advance Coat";SI;;;;
combo-para-hacer-copos-de-nieve-navidenos;"Combo Copos de Nieve Navideños - Adornos Únicos";"Combos > Combos iniciales, Combos > Combos para hacer dijes";;;;;;;25,250.00;22,000.00;0.20;1.00;1.00;1.00;0;"150g + copo de nieve triple + 3 escamas";;NO;NO;;"adornos navidenos, arbol navidad, argentina, buenos aires, combo, combo advance coat, combo emprendedor, combo resina, combo todo incluido, comprar combo resina argentina, comprar online argentina, copo de nieve, copo de nieve triple, copos nieve, decoracion navidad, dije, dijes, envio argentina, escamas, extra, extras, extras para resina, formas navidad, formas navidenas, kit completo principiantes, kit emprendimiento, kit hobbistas, kit manualidades, kit para empezar, kit para regalar, kit resina epoxi, llaveros, navidad resina, regalos navidad, set resina epoxi";"Combo Copos de Nieve Navideños | Advance Coat";;"Advance Coat";SI;;;;
